Timestamp,Repository,Capability,Action,User,Date,Environment,Cross-Ref ID,Associated PR,ID,Message,Branch Duration (Hours),Review Time (Hours),LOC Changed,PR Size (Commits),Target Branch,Time to First Review (Hours),Review Comments Count,Requested Reviewers
2026-02-23 00:45:27,Repo-Alpha-01,Cap-Core,Commit,User_8472,2026-02-23T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-23 00:45:27,Repo-Alpha-01,Cap-Core,Merge (PR),dev_acc_1,2026-02-23T00:45:27.502Z,Production,CHG1234,PR #49,PR #80,Mock PR message,2.58,2.58,126.1,70,main,1.69,5,"reviewer_1, reviewer_2"
2026-02-23 00:45:27,Repo-Alpha-01,Cap-Core,Workflow Run (success),svc_bot,2026-02-23T00:45:27.502Z,Production,,,Run #441,Deploy to Prod,,,,,main,,,
2026-02-23 00:45:27,Repo-Alpha-02,Cap-Core,Commit,User_9122,2026-02-23T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-23 00:45:27,Repo-Alpha-02,Cap-Core,Merge (PR),dev_acc_2,2026-02-23T00:45:27.502Z,Production,CHG1234,PR #27,PR #84,Mock PR message,0.72,0.72,369.7,106,main,1.21,4,"reviewer_1, reviewer_2"
2026-02-23 00:45:27,Repo-Alpha-02,Cap-Core,Workflow Run (success),svc_bot,2026-02-23T00:45:27.502Z,Production,,,Run #675,Deploy to Prod,,,,,main,,,
2026-02-23 00:45:27,Repo-Alpha-03,Cap-Core,Commit,User_9122,2026-02-23T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-23 00:45:27,Repo-Alpha-03,Cap-Core,Merge (PR),dev_acc_2,2026-02-23T00:45:27.502Z,Production,CHG1234,PR #18,PR #25,Mock PR message,0.35,0.35,20.4,109,main,9.31,3,"reviewer_1, reviewer_2"
2026-02-23 00:45:27,Repo-Alpha-03,Cap-Core,Workflow Run (success),svc_bot,2026-02-23T00:45:27.502Z,Production,,,Run #935,Deploy to Prod,,,,,main,,,
2026-02-23 00:45:27,Repo-Alpha-04,Cap-Core,Commit,EDP_Team,2026-02-23T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-23 00:45:27,Repo-Alpha-04,Cap-Core,Workflow Run (success),svc_bot,2026-02-23T00:45:27.502Z,Production,,,Run #563,Deploy to Prod,,,,,main,,,
2026-02-23 00:45:27,Repo-Beta-01,Cap-Storage,Commit,User_1055,2026-02-23T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-23 00:45:27,Repo-Beta-01,Cap-Storage,Merge (PR),dev_acc_4,2026-02-23T00:45:27.502Z,Production,CHG1234,PR #66,PR #37,Mock PR message,1.84,1.84,61.7,96,main,3.12,3,"reviewer_1, reviewer_2"
2026-02-23 00:45:27,Repo-Beta-01,Cap-Storage,Workflow Run (success),svc_bot,2026-02-23T00:45:27.502Z,Production,,,Run #325,Deploy to Prod,,,,,main,,,
2026-02-23 00:45:27,Repo-Beta-03,Cap-Storage,Commit,User_3341,2026-02-23T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
