Repository,AppCode,Capability,Repo Type,Verification Status,Timestamp Verification,Total Commits,Total Merged PRs,Distinct Committers Count,Distinct PR Authors Count,Last Commit Date,Last PR Date,Last Workflow Date,Avg Branch Duration (Hours),Avg Coding Time (Hours),Avg Review Time (Hours),Avg LOC Changed,Avg Review Time / LOC,MTTR-Sec (Hours),Successful Deployments,Avg Review Comments per PR,Avg Wait Time for First Review (Hours),Avg PR Description Length (Chars),Small to Large PR Ratio,Change Failure Rate (%),True Lead Time for Changes (Hours),Lead Time to Production (Days),CI/CD Failure Rate (%),CI/CD Avg Execution Time (Mins),Avg Code Churn (Commits),Test Code Ratio (%),Coding Velocity (LOC/Hr),SQ Security Rating,SQ Technical Debt (Days),SQ Code Smells,SQ Vulnerabilities,SQ Unit Tests,CT.yml Exists,CT.yml Has Runs,CT.yml Last Run,Environment,Timestamp
Repo-Alpha-01,Unknown,Cap-Core,Application,OK,New Repos,84,5,9,1,2026-02-19T00:45:27.502Z,2026-02-19T00:45:27.502Z,2026-02-19T00:45:27.502Z,3.09,0.00,3.09,151.0,0.0205,18.49,3,1.98,2.43,211,1.39,4.89,4.64,68.21,10.46,9.53,1.73,11.37,45.48,B,30.6,198,3,380,No,No,N/A,Production,2026-02-19 00:45:27
Repo-Alpha-02,Unknown,Cap-Core,Infrastructure,OK,New Repos,92,5,9,2,2026-02-19T00:45:27.502Z,2026-02-19T00:45:27.502Z,2026-02-19T00:45:27.502Z,0.62,0.00,0.62,318.3,0.0020,2.99,14,2.49,9.28,401,1.35,3.07,0.93,54.94,5.24,4.88,1.73,9.16,36.62,C,23.2,119,4,519,No,No,N/A,Production,2026-02-19 00:45:27
Repo-Alpha-03,Unknown,Cap-Core,Infrastructure,OK,New Repos,113,5,10,2,2026-02-19T00:45:27.502Z,2026-02-19T00:45:27.502Z,2026-02-19T00:45:27.502Z,0.36,0.00,0.36,21.2,0.0170,4.11,20,3.58,9.74,412,1.81,0.56,0.54,67.80,8.38,13.16,1.03,11.30,45.20,B,24.1,48,3,497,No,No,N/A,Production,2026-02-19 00:45:27
Repo-Alpha-04,Unknown,Cap-Core,Application,OK,New Repos,3,0,2,0,2026-02-19T00:45:27.502Z,,2026-02-19T00:45:27.502Z,0.00,0.00,0.00,0.0,0.0000,13.80,1,0,0,0,0,3.71,0,0,0.17,12.95,0,0,0,C,6.1,84,2,154,No,No,N/A,Production,2026-02-19 00:45:27
Repo-Beta-01,Unknown,Cap-Storage,Infrastructure,OK,New Repos,111,5,12,3,2026-02-19T00:45:27.502Z,2026-02-19T00:45:27.502Z,2026-02-19T00:45:27.502Z,2.13,0.00,2.13,71.4,0.0299,27.32,18,1.32,8.26,469,1.40,0.97,3.20,66.36,1.19,15.51,1.58,11.06,44.24,B,32.4,97,2,374,No,No,N/A,Production,2026-02-19 00:45:27
Repo-Beta-02,Unknown,Cap-Storage,Unknown,OK,New Repos,0,0,0,0,,,2026-02-19T00:45:27.502Z,0.00,0.00,0.00,0.0,0.0000,0,0,0,0,0,0,0,0,0,10.22,9.89,0,0,0,B,11.0,3,2,388,No,No,N/A,Production,2026-02-19 00:45:27
Repo-Beta-03,Unknown,Cap-Storage,Infrastructure,OK,New Repos,116,5,4,2,2026-02-19T00:45:27.502Z,2026-02-19T00:45:27.502Z,2026-02-19T00:45:27.502Z,14.68,0.00,14.68,13.3,1.1079,3.24,19,4.68,2.58,180,0.71,4.30,22.02,69.74,11.61,1.22,0.42,11.62,46.49,A,1.3,196,0,468,No,No,N/A,Production,2026-02-19 00:45:27
Repo-Gamma-01,Unknown,Cap-Ingestion,Infrastructure,OK,New Repos,115,5,7,1,2026-02-19T00:45:27.502Z,2026-02-19T00:45:27.502Z,2026-02-19T00:45:27.502Z,0.15,0.00,0.15,83.4,0.0018,44.03,14,1.45,12.47,461,2.22,1.21,0.22,68.71,7.40,3.60,0.33,11.45,45.81,A,11.4,110,0,58,No,No,N/A,Production,2026-02-19 00:45:27
Repo-Gamma-02,Unknown,Cap-Ingestion,Application,OK,New Repos,6,2,5,2,2026-02-19T00:45:27.502Z,2026-02-19T00:45:27.502Z,2026-02-19T00:45:27.502Z,8.80,0.00,8.80,252.1,0.0349,8.96,1,2.53,6.19,373,0.50,0.78,13.20,55.01,1.46,2.87,1.59,9.17,36.67,B,20.1,86,3,109,No,No,N/A,Production,2026-02-19 00:45:27
Repo-Delta-01,Unknown,Cap-Reporting,Infrastructure,OK,Match,105,5,9,1,2026-02-19T00:45:27.502Z,2026-02-19T00:45:27.502Z,2026-02-19T00:45:27.502Z,0.31,0.00,0.31,11.8,0.0259,40.09,14,3.40,7.86,260,1.54,0.03,0.46,63.16,10.36,1.77,0.71,10.53,42.11,A,6.3,106,0,144,No,No,N/A,Production,2026-02-19 00:45:27
